date,region,product,sales,quantity,customer_age,satisfaction_score,date_year,date_month,date_day,date_dayofweek,date_quarter,sales_bin,quantity_bin,customer_age_bin,satisfaction_score_bin,date_month_bin,date_day_bin,date_dayofweek_bin,sales_per_quantity,sales_per_customer_age,sales_per_satisfaction_score,sales_per_date_year,sales_per_date_month
2023-01-01,North,Product A,960,28,18,1.9,2023,1,1,6,1,Q1,Q2,Q1,Q2,Q1,Q1,Q5,34.285714285714285,53.333333333333336,505.2631578947369,0.4745427582797825,960.0
2023-01-02,North,Product B,3872,85,41,2.0,2023,1,2,0,1,Q4,Q5,Q3,Q2,Q1,Q1,Q1,45.55294117647059,94.4390243902439,1936.0,1.9139891250617895,3872.0
2023-01-03,East,Product E,3192,49,71,4.4,2023,1,3,1,1,Q4,Q3,Q5,Q5,Q1,Q1,Q1,65.14285714285714,44.95774647887324,725.4545454545454,1.5778546712802768,3192.0
2023-01-04,South,Product A,566,71,24,3.24,2023,1,4,2,1,Q1,Q4,Q1,Q3,Q1,Q1,Q2,7.971830985915493,23.583333333333332,174.69135802469134,0.2797825012357884,566.0
2023-01-05,South,Product A,4526,81,42,3.09,2023,1,5,3,1,Q5,Q4,Q3,Q3,Q1,Q1,Q3,55.876543209876544,107.76190476190476,1464.7249190938512,2.2372713791398913,4526.0
2023-01-06,South,Product C,3544,84,38,1.46,2023,1,6,4,1,Q4,Q5,Q2,Q1,Q1,Q1,Q3,42.19047619047619,93.26315789473684,2427.3972602739727,1.7518536826495303,3544.0
2023-01-07,North,Product B,3271,49,32,4.44,2023,1,7,5,1,Q4,Q3,Q2,Q5,Q1,Q1,Q4,66.75510204081633,102.21875,736.7117117117117,1.6169055857637173,3271.0
2023-01-08,North,Product B,3019,20,18,3.89,2023,1,8,6,1,Q3,Q1,Q1,Q4,Q1,Q2,Q5,150.95,167.72222222222223,776.0925449871465,1.4923381117152743,3019.0
2023-01-09,West,Product E,230,86,29,1.27,2023,1,9,0,1,Q1,Q5,Q1,Q1,Q1,Q2,Q1,2.6744186046511627,7.931034482758621,181.10236220472441,0.11369253583786455,230.0
2023-01-10,North,Product B,1785,92,24,3.0,2023,1,10,1,1,Q2,Q5,Q1,Q3,Q1,Q2,Q1,19.402173913043477,74.375,595.0,0.8823529411764706,1785.0
2023-01-11,North,Product A,869,63,32,3.17,2023,1,11,2,1,Q1,Q4,Q2,Q3,Q1,Q2,Q2,13.793650793650794,27.15625,274.1324921135647,0.4295600593178448,869.0
2023-01-12,North,Product E,2491,61,38,1.33,2023,1,12,3,1,Q3,Q4,Q2,Q1,Q1,Q2,Q3,40.83606557377049,65.55263157894737,1872.9323308270675,1.2313395946613939,2491.0
2023-01-13,South,Product B,2533,49,36,2.83,2023,1,13,4,1,Q3,Q3,Q2,Q3,Q1,Q2,Q3,51.69387755102041,70.36111111111111,895.0530035335689,1.2521008403361344,2533.0
2023-01-14,South,Product E,1284,71,46,2.94,2023,1,14,5,1,Q2,Q4,Q3,Q3,Q1,Q3,Q4,18.08450704225352,27.91304347826087,436.734693877551,0.6347009391992091,1284.0
2023-01-15,North,Product B,4655,1,42,1.66,2023,1,15,6,1,Q5,Q1,Q3,Q1,Q1,Q3,Q5,4655.0,110.83333333333333,2804.2168674698796,2.301038062283737,4655.0
2023-01-16,South,Product B,3485,96,50,4.78,2023,1,16,0,1,Q4,Q5,Q3,Q5,Q1,Q3,Q1,36.302083333333336,69.7,729.0794979079498,1.7226890756302522,3485.0
2023-01-17,West,Product C,4217,13,66,4.4,2023,1,17,1,1,Q5,Q1,Q5,Q5,Q1,Q3,Q1,324.38461538461536,63.89393939393939,958.4090909090909,2.084527928818586,4217.0
